VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME
4,9.47,9.47,5,9.71,9.71,1,9.33,9.33,3,9.35,9.35,2,9.33,9.33
4,13.09,22.56,5,13.11,22.82,3,13.10,22.43,1,12.79,22.14,2,12.94,22.27
4,12.55,35.11,5,12.50,35.32,3,12.50,34.93,1,12.50,34.64,2,12.54,34.81
4,12.44,47.55,5,12.41,47.73,3,12.46,47.39,1,12.49,47.13,2,12.47,47.28
4,12.50,1:00.05,5,12.52,1:00.25,3,12.52,59.91,1,12.53,59.66,2,12.52,59.80
4,12.32,1:12.37,5,12.33,1:12.58,3,12.31,1:12.22,1,12.35,1:12.01,2,12.21,1:12.01
4,11.83,1:24.20,5,11.79,1:24.37,3,11.83,1:24.05,2,11.91,1:23.92,1,11.80,1:23.81
4,11.69,1:35.89,5,11.69,1:36.06,3,11.82,1:35.87,2,11.84,1:35.76,1,11.92,1:35.73
1,9.83,1:45.72,5,10.13,1:46.19,4,10.21,1:46.08,3,10.31,1:46.07,2,10.15,1:45.88
1,9.76,1:55.48,4,9.63,1:55.82,2,9.61,1:55.69,3,9.71,1:55.78,5,9.97,1:55.85
2,9.87,2:05.35,1,9.47,2:05.29,3,9.78,2:05.47,4,9.79,2:05.57,5,9.96,2:05.81
2,9.43,2:14.78,1,9.31,2:14.60,3,9.49,2:14.96,4,9.97,2:15.54,5,9.96,2:15.77
2,9.54,2:24.32,1,9.59,2:24.19,3,9.55,2:24.51,4,10.27,2:25.81,5,10.26,2:26.03
2,9.80,2:34.112,1,9.77,2:33.952,0,,PEN,3,10.66,2:36.462,4,10.72,2:36.750
