Alex IZYKOWSKI POSITION,Alex IZYKOWSKI LAP TIME,Alex IZYKOWSKI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME
4,8.933,8.933,5,9.015,9.015,3,8.854,8.854,6,9.145,9.145,1,8.581,8.581,2,8.696,8.696
5,11.821,20.754,4,11.681,20.695,1,11.509,20.363,6,11.923,21.067,3,12.023,20.603,2,11.717,20.413
4,10.973,31.727,5,11.041,31.736,3,11.249,31.612,6,10.825,31.892,2,11.005,31.608,1,11.067,31.479
1,9.840,41.566,2,9.998,41.733,4,10.177,41.789,6,10.287,42.178,3,10.128,41.736,5,10.313,41.792
1,10.041,51.607,5,10.189,51.921,4,9.989,51.777,6,9.940,52.117,3,9.918,51.654,2,9.861,51.652
2,10.209,1:01.816,3,9.978,1:01.899,5,10.223,1:01.999,6,10.100,1:02.217,4,10.249,1:01.902,1,10.161,1:01.813
3,10.016,1:11.832,1,9.835,1:11.734,5,9.893,1:11.892,6,9.877,1:12.094,2,9.846,1:11.747,4,10.066,1:11.878
2,9.551,1:21.383,3,9.668,1:21.402,5,9.536,1:21.427,6,9.379,1:21.473,4,9.661,1:21.408,1,9.499,1:21.377
5,9.588,1:30.970,2,9.436,1:30.838,6,9.658,1:31.085,1,9.186,1:30.658,3,9.465,1:30.872,4,9.577,1:30.953
5,9.501,1:40.471,2,9.392,1:40.229,6,9.404,1:40.488,4,9.750,1:40.408,1,9.280,1:40.151,3,9.354,1:40.307
6,9.576,1:50.046,1,9.220,1:49.448,4,9.390,1:49.878,5,9.476,1:49.884,2,9.540,1:49.691,3,9.510,1:49.817
6,9.481,1:59.526,1,9.515,1:58.963,5,9.477,1:59.355,3,9.248,1:59.131,2,9.438,1:59.128,4,9.353,1:59.170
6,9.607,2:09.133,3,9.528,2:08.490,5,9.242,2:08.596,2,9.349,2:08.479,1,9.221,2:08.349,4,9.376,2:08.546
5,9.48,2:18.610,6,10.13,2:18.615,4,9.76,2:18.348,1,9.24,2:17.718,2,9.49,2:17.836,3,9.74,2:18.280
