Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
4,13.55,13.55,2,13.35,13.35,1,13.31,13.31,3,13.35,13.35
4,10.27,23.82,3,10.34,23.69,1,10.16,23.47,2,10.20,23.55
4,10.29,34.11,3,10.23,33.92,1,10.26,33.73,2,10.26,33.81
4,10.28,44.39,2,10.23,44.15,1,10.36,44.09,3,10.37,44.18
4,10.19,54.58,1,10.10,54.25,2,10.23,54.32,3,10.26,54.44
4,10.18,1:04.76,1,10.16,1:04.41,2,10.24,1:04.56,3,10.23,1:04.67
2,10.11,1:14.87,4,24.88,1:29.29,3,20.72,1:25.28,1,10.04,1:14.71
2,10.61,1:25.48,4,15.90,1:45.19,3,15.19,1:40.47,1,10.62,1:25.33
2,11.14,1:36.612,0,,PEN,3,11.97,1:52.440,1,10.90,1:36.229
