JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
2,12.92,12.92,3,13.03,,4,13.17,13.17,1,12.82,12.82
2,9.97,22.89,3,9.94,,4,9.94,23.11,1,9.97,22.79
2,9.79,32.68,3,9.80,,4,9.68,32.79,1,9.79,32.58
3,9.18,41.86,4,9.17,,1,8.89,41.68,2,9.19,41.77
4,9.36,51.22,3,8.93,,1,8.99,50.67,2,8.98,50.75
4,8.86,1:00.08,3,8.80,,2,8.90,59.57,1,8.72,59.47
4,8.79,1:08.87,3,9.00,,2,9.02,1:08.59,1,9.03,1:08.50
4,9.09,1:17.96,3,9.20,,2,9.14,1:17.73,1,9.14,1:17.64
4,9.66,1:27.62,3,9.34,,2,9.32,1:27.05,1,9.35,1:26.99
