PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
2,15.06,15.06,3,15.16,15.16,4,15.23,15.23,1,14.97,14.97
3,12.71,27.77,4,12.70,27.86,2,12.45,27.68,1,12.65,27.62
1,10.51,38.28,3,10.69,38.55,4,10.97,38.65,2,10.79,38.41
1,10.49,48.77,3,10.44,48.99,4,10.35,49.00,2,10.47,48.88
1,10.43,59.20,3,10.45,59.44,4,10.55,59.55,2,10.47,59.35
1,10.02,1:09.22,3,9.96,1:09.40,4,9.96,1:09.51,2,9.90,1:09.25
2,9.67,1:18.89,3,9.62,1:19.02,4,9.55,1:19.06,1,9.48,1:18.73
2,9.51,1:28.40,3,9.70,1:28.72,4,9.73,1:28.79,1,9.58,1:28.31
2,9.97,1:38.37,3,9.97,1:38.69,4,9.91,1:38.70,1,9.96,1:38.27
