TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME
6,10.24,10.24,5,9.86,9.86,2,9.29,9.29,1,9.12,,4,9.63,9.63,3,9.47,9.47
6,13.69,23.93,5,13.97,23.83,2,14.11,23.40,1,14.15,,4,14.04,23.67,3,14.08,23.55
6,13.89,37.82,5,13.84,37.67,3,13.90,37.30,1,13.92,,4,13.82,37.49,2,13.70,37.25
6,13.48,51.30,5,13.38,51.05,1,13.06,50.36,2,13.33,,4,13.30,50.79,3,13.40,50.65
6,12.56,1:03.86,5,12.67,1:03.72,1,12.97,1:03.33,3,12.93,,2,12.59,1:03.38,4,12.81,1:03.46
6,11.98,1:15.84,5,11.97,1:15.69,2,12.03,1:15.36,2,11.91,,1,11.89,1:15.27,4,12.04,1:15.50
6,11.72,1:27.56,5,11.68,1:27.37,1,11.51,1:26.87,3,11.72,,2,11.64,1:26.91,4,11.70,1:27.20
5,11.02,1:38.58,6,11.26,1:38.63,1,11.25,1:38.12,3,11.16,,2,11.24,1:38.15,4,11.23,1:38.43
3,9.70,1:48.28,5,10.03,1:48.66,4,10.27,1:48.39,2,10.01,,1,9.94,1:48.09,6,10.27,1:48.70
3,9.52,1:57.80,5,9.45,1:58.11,4,9.54,1:57.93,2,9.44,,1,9.47,1:57.56,6,9.90,1:58.60
3,9.19,2:06.99,5,9.20,2:07.31,4,9.25,2:07.18,2,9.27,,1,9.28,2:06.84,6,10.24,2:08.84
2,9.11,2:16.10,4,9.19,2:16.50,3,9.16,2:16.34,5,9.69,,1,9.10,2:15.94,6,10.63,2:19.47
1,8.98,2:25.08,4,9.04,2:25.54,3,9.15,2:25.49,5,9.27,,1,9.14,2:25.08,6,11.08,2:30.55
1,9.33,2:34.413,3,9.15,2:34.690,4,9.50,2:34.988,5,9.54,,2,9.42,2:34.538,5,11.82,2:42.380
