Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME
3,14.36,14.36,2,14.30,14.30,4,14.44,14.44,1,14.16,14.16
3,11.68,26.04,1,11.60,25.90,4,11.63,26.07,2,11.77,25.93
2,11.18,37.22,1,11.21,37.11,4,11.31,37.38,3,11.39,37.32
2,10.85,48.07,1,10.87,47.98,4,10.87,48.25,3,10.77,48.09
2,10.26,58.33,1,10.25,58.23,4,10.28,58.53,3,10.25,58.34
3,9.85,1:08.18,1,9.71,1:07.94,4,9.78,1:08.31,2,9.74,1:08.08
3,9.37,1:17.55,1,9.39,1:17.33,4,9.57,1:17.88,2,9.38,1:17.46
3,9.39,1:26.94,1,9.15,1:26.48,4,9.83,1:27.71,2,9.46,1:26.92
2,10.01,1:36.949,1,9.40,1:35.880,4,10.25,1:37.955,3,10.19,1:37.106
