WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME
2,12.58,12.58,1,12.48,12.48,3,12.68,,4,12.84,12.84,5,12.94,12.94
2,9.81,22.39,1,9.77,22.25,3,9.83,,5,9.79,22.63,4,9.66,22.60
2,9.28,31.67,1,9.32,31.57,3,9.26,,4,9.26,31.89,5,9.36,31.96
2,9.20,40.87,1,9.21,40.78,3,9.24,,4,9.19,41.08,5,9.21,41.17
2,9.04,49.91,1,9.02,49.80,4,9.08,,3,8.93,50.01,5,9.07,50.24
2,8.87,58.78,1,8.88,58.68,4,8.89,,3,8.88,58.89,5,8.86,59.10
2,8.82,1:07.60,1,8.78,1:07.46,4,8.83,,3,8.83,1:07.72,5,9.01,1:08.11
1,8.79,1:16.39,2,9.00,1:16.46,4,8.82,,3,8.83,1:16.55,5,9.31,1:17.42
1,9.11,1:25.478,4,28.58,1:44.995,2,9.01,,2,9.17,1:25.709,3,9.63,1:27.039
