Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
2,6.94,6.94,1,6.88,6.88,4,7.19,7.19,3,7.18,7.18
1,8.79,15.73,2,8.85,15.73,3,8.85,16.04,4,8.92,16.10
1,8.46,24.19,2,8.48,24.21,3,8.48,24.52,4,8.65,24.75
2,8.63,32.82,1,8.59,32.80,3,8.54,33.06,4,8.69,33.44
2,8.88,41.700,1,8.84,41.639,3,8.80,41.851,4,9.05,42.488
