van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,GAERTNER Anna Katharina POSITION,GAERTNER Anna Katharina LAP TIME,GAERTNER Anna Katharina ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME
1,16.05,16.05,3,16.32,16.32,2,16.17,16.17,4,16.38,16.38,5,16.49,16.49
2,11.88,27.93,4,11.79,28.11,3,11.83,28.00,1,11.51,27.89,5,11.70,28.19
4,11.05,38.98,5,10.99,39.10,3,10.87,38.87,2,10.90,38.79,1,10.58,38.77
3,10.48,49.46,5,10.52,49.62,2,10.56,49.43,4,10.72,49.51,1,10.48,49.25
2,9.91,59.37,5,10.15,59.77,3,10.05,59.48,4,10.07,59.58,1,9.99,59.24
2,10.02,1:09.39,5,9.97,1:09.74,3,10.03,1:09.51,4,10.07,1:09.65,1,10.01,1:09.25
2,9.83,1:19.22,5,9.93,1:19.67,3,9.85,1:19.36,4,9.79,1:19.44,1,9.87,1:19.12
2,9.61,1:28.83,5,9.83,1:29.50,3,9.73,1:29.09,4,9.67,1:29.11,1,9.60,1:28.72
2,9.59,1:38.42,5,10.09,1:39.59,4,10.41,1:39.50,3,10.09,1:39.20,1,9.60,1:38.32
