Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,13.93,13.93,3,14.13,14.13,4,14.26,14.26,1,13.78,13.78
2,10.74,24.67,4,10.68,24.81,3,10.50,24.76,1,10.71,24.49
2,10.10,34.78,3,10.06,34.87,4,10.29,35.05,1,10.21,34.71
4,9.77,44.56,2,9.47,44.35,3,9.43,44.49,1,9.27,43.98
4,9.29,53.85,2,9.27,53.62,3,9.26,53.76,1,9.58,53.56
4,9.36,1:03.21,2,9.26,1:02.89,3,9.25,1:03.01,1,9.29,1:02.86
4,9.03,1:12.25,1,9.04,1:11.94,2,9.06,1:12.07,3,9.32,1:12.18
4,9.19,1:21.45,1,9.14,1:21.08,2,9.05,1:21.12,3,9.21,1:21.40
3,9.33,1:30.777,1,9.44,1:30.513,2,9.57,1:30.684,4,9.40,1:30.797
