Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME
3,13.89,13.89,2,13.82,13.82,1,13.73,13.73,4,13.92,13.92
4,10.27,24.16,1,10.07,23.89,2,10.26,23.99,3,10.15,24.07
4,9.93,34.09,2,10.08,33.97,1,9.89,33.88,3,10.01,34.08
1,8.88,42.97,3,9.21,43.18,2,9.21,43.09,4,9.17,43.25
1,8.97,51.94,3,8.96,52.14,2,8.94,52.03,4,8.90,52.15
1,8.84,1:00.78,4,8.93,1:01.07,2,8.83,1:00.86,3,8.90,1:01.05
1,8.83,1:09.61,4,8.96,1:10.03,2,8.81,1:09.67,3,8.81,1:09.86
2,9.06,1:18.67,4,9.13,1:19.16,1,8.91,1:18.58,3,9.00,1:18.86
2,9.29,1:27.955,4,9.77,1:28.930,1,9.01,1:27.590,3,9.17,1:28.030
