CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
1,9.08,9.08,3,9.23,9.23,2,9.23,9.23,4,9.38,9.38,6,9.49,9.49,5,9.39,9.39
2,12.86,21.94,4,12.92,22.15,1,12.60,21.83,5,12.92,22.30,6,12.94,22.43,3,12.65,22.04
2,12.39,34.33,4,12.42,34.57,1,12.34,34.17,5,12.34,34.64,6,12.31,34.74,3,12.40,34.44
2,11.96,46.29,4,11.96,46.53,1,11.99,46.16,5,12.03,46.67,6,12.08,46.82,3,11.94,46.38
2,11.58,57.87,4,11.54,58.07,1,11.59,57.75,5,11.51,58.18,6,11.45,58.27,3,11.59,57.97
2,10.92,1:08.79,4,10.87,1:08.94,3,11.09,1:08.84,5,10.84,1:09.02,6,10.85,1:09.12,1,10.80,1:08.77
2,10.43,1:19.22,4,10.48,1:19.42,3,10.46,1:19.30,5,10.46,1:19.48,6,10.45,1:19.57,1,10.35,1:19.12
1,10.06,1:29.28,5,10.23,1:29.65,3,10.12,1:29.42,4,10.07,1:29.55,6,10.12,1:29.69,2,10.25,1:29.37
1,9.94,1:39.22,6,9.85,1:39.50,2,9.85,1:39.27,4,9.88,1:39.43,5,9.79,1:39.48,3,9.98,1:39.35
1,9.76,1:48.98,6,9.90,1:49.40,2,9.80,1:49.07,4,9.81,1:49.24,5,9.81,1:49.29,3,9.82,1:49.17
1,9.64,1:58.62,6,9.67,1:59.07,2,9.67,1:58.74,4,9.71,1:58.95,5,9.67,1:58.96,3,9.67,1:58.84
1,9.36,2:07.98,5,9.34,2:08.41,2,9.38,2:08.12,6,9.60,2:08.55,4,9.35,2:08.31,3,9.40,2:08.24
1,9.37,2:17.35,5,9.36,2:17.77,2,9.42,2:17.54,6,9.40,2:17.95,4,9.34,2:17.65,3,9.39,2:17.63
1,9.52,2:26.868,6,45.86,3:03.627,2,9.48,2:27.021,4,10.59,2:28.532,5,23.84,2:41.485,3,9.61,2:27.235
