WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME
2,14.58,14.58,3,14.69,14.69,1,14.47,14.47,4,14.83,
2,11.51,26.09,3,11.57,26.26,1,11.50,25.97,4,11.54,
1,11.22,37.31,3,11.26,37.52,2,11.37,37.34,4,11.27,
3,10.33,47.64,1,9.76,47.28,2,10.21,47.55,4,10.17,
2,9.15,56.79,1,9.11,56.39,4,9.79,57.34,3,9.23,
2,8.84,1:05.63,1,9.01,1:05.40,3,9.41,1:06.75,4,9.82,
2,8.76,1:14.39,1,8.96,1:14.36,3,9.66,1:16.41,4,11.28,
1,9.07,1:23.46,2,9.21,1:23.57,3,10.32,1:26.73,4,17.01,
1,9.40,1:32.86,2,9.35,1:32.92,3,10.87,1:37.60,4,16.87,
