Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
1,7.992,7.992,2,8.205,8.205,6,8.688,8.688,3,8.253,8.253,5,8.380,8.380,4,8.257,8.257,7,8.783,8.783
2,10.798,18.789,3,10.755,18.960,5,10.707,19.394,7,11.350,19.603,4,10.802,19.181,1,10.393,18.649,6,10.689,19.472
2,10.456,29.245,3,10.495,29.454,6,10.483,29.877,7,10.350,29.952,4,10.568,29.748,1,10.544,29.193,5,10.311,29.782
1,10.226,39.471,3,10.195,39.649,6,10.012,39.889,4,9.809,39.761,5,10.092,39.840,2,10.423,39.615,7,10.166,39.948
1,10.265,49.736,4,10.175,49.823,3,9.902,49.790,6,10.170,49.931,7,10.244,50.084,2,10.171,49.785,5,9.901,49.849
1,9.737,59.472,5,10.056,59.879,3,9.972,59.762,6,10.095,1:00.026,7,9.996,1:00.079,4,10.017,59.802,2,9.704,59.552
1,10.021,1:09.493,5,9.922,1:09.800,3,9.956,1:09.717,6,10.004,1:10.030,7,9.977,1:10.055,4,9.989,1:09.791,2,10.016,1:09.568
1,10.161,1:19.654,5,10.144,1:19.944,3,10.029,1:19.745,6,9.987,1:20.016,7,10.025,1:20.080,4,10.125,1:19.915,2,10.105,1:19.673
2,9.914,1:29.567,6,10.037,1:29.981,1,9.788,1:29.532,4,9.861,1:29.877,7,10.020,1:30.099,5,9.984,1:29.899,3,9.965,1:29.637
2,10.232,1:39.799,5,10.090,1:40.070,1,10.180,1:39.712,4,10.098,1:39.975,6,10.064,1:40.163,7,10.332,1:40.230,3,10.209,1:39.846
2,9.946,1:49.744,3,10.021,1:50.090,7,12.425,1:52.137,4,10.162,1:50.136,5,10.125,1:50.287,6,10.471,1:50.700,1,9.839,1:49.685
3,9.893,1:59.637,5,9.856,1:59.946,2,7.376,1:59.512,4,9.763,1:59.899,6,10.134,2:00.420,7,10.271,2:00.970,1,9.568,1:59.252
3,9.905,2:09.541,5,9.861,2:09.807,2,9.785,2:09.297,4,9.832,2:09.731,6,10.304,2:10.724,7,10.996,2:11.966,1,9.885,2:09.137
3,10.30,2:19.832,5,10.13,2:19.932,1,10.06,2:19.350,4,10.12,2:19.849,6,11.02,2:21.743,7,11.73,2:23.693,2,10.23,2:19.361
