Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
1,13.58,13.58,3,13.79,13.79,2,13.70,13.70,4,13.95,13.95
1,10.93,24.51,3,10.98,24.77,2,10.95,24.65,4,10.93,24.88
1,10.22,34.73,3,10.16,34.93,2,10.19,34.84,4,10.16,35.04
1,9.94,44.67,3,9.88,44.81,2,9.84,44.68,4,9.91,44.95
3,9.45,54.12,2,9.18,53.99,1,9.21,53.89,4,9.27,54.22
3,9.03,1:03.15,2,9.00,1:02.99,1,9.02,1:02.91,4,9.07,1:03.29
3,8.96,1:12.11,2,8.99,1:11.98,1,9.00,1:11.91,4,8.92,1:12.21
4,9.41,1:21.52,2,9.12,1:21.10,1,9.04,1:20.95,3,9.02,1:21.23
4,10.57,1:32.082,2,9.25,1:30.349,1,9.29,1:30.234,3,9.46,1:30.687
