Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Anja KOLAR POSITION,Anja KOLAR LAP TIME,Anja KOLAR ELAPSED TIME,WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Natalia DMITRIEVA POSITION,Natalia DMITRIEVA LAP TIME,Natalia DMITRIEVA ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME
4,12.202,12.202,2,11.790,11.790,6,12.433,12.433,3,12.142,12.142,1,11.543,11.543,5,12.377,12.377
5,15.101,27.303,4,15.355,27.145,6,14.982,27.415,2,14.634,26.776,1,15.011,26.554,3,14.717,27.093
2,13.405,40.707,4,13.767,40.911,6,14.011,41.425,3,13.991,40.767,1,14.010,40.563,5,14.036,41.128
6,14.479,55.186,3,13.865,54.776,5,13.652,55.077,2,13.916,54.683,1,13.808,54.371,4,13.786,54.914
4,12.946,1:08.131,3,13.240,1:08.016,6,13.449,1:08.525,2,13.317,1:07.999,1,13.478,1:07.848,5,13.422,1:08.336
4,12.054,1:20.185,2,12.038,1:20.054,6,12.015,1:20.540,5,12.208,1:20.207,1,12.047,1:19.895,3,11.845,1:20.181
3,10.799,1:30.983,4,11.034,1:31.087,6,11.047,1:31.586,5,11.059,1:31.265,1,10.918,1:30.813,2,10.651,1:30.831
3,10.933,1:41.916,4,10.986,1:42.072,6,10.658,1:42.243,5,10.876,1:42.141,2,11.044,1:41.856,1,10.951,1:41.782
5,11.086,1:53.002,4,10.909,1:52.981,6,10.963,1:53.206,3,10.809,1:52.950,2,10.940,1:52.795,1,10.894,1:52.676
2,10.075,2:03.076,5,10.479,2:03.459,6,10.780,2:03.985,4,10.160,2:03.109,3,10.288,2:03.083,1,10.350,2:03.026
4,10.100,2:13.176,3,9.713,2:13.172,6,10.633,2:14.618,1,9.879,2:12.988,5,10.165,2:13.248,2,10.013,2:13.038
3,10.006,2:23.181,4,10.189,2:23.360,6,11.070,2:25.687,2,9.998,2:22.986,5,10.123,2:23.370,1,9.916,2:22.954
4,9.947,2:33.127,3,9.666,2:33.026,6,12.615,2:38.302,1,9.982,2:32.968,5,10.751,2:34.121,2,10.066,2:33.020
3,10.16,2:43.287,4,10.45,2:43.474,6,10.09,2:48.390,2,10.31,2:43.277,5,12.08,2:46.201,1,10.11,2:43.124
