Michal DOMANSKI POSITION,Michal DOMANSKI LAP TIME,Michal DOMANSKI ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME
1,7.06,7.06,3,7.22,7.22,4,7.39,7.39,2,7.13,7.13,5,7.49,7.49
1,9.38,16.44,2,9.28,16.50,5,9.45,16.84,3,9.38,16.51,4,9.22,16.71
1,8.88,25.32,2,8.83,25.33,5,8.85,25.69,3,8.88,25.39,4,8.85,25.56
3,9.00,34.32,2,8.78,34.11,4,8.78,34.47,1,8.58,33.97,5,9.38,34.94
3,9.06,43.38,2,8.95,43.06,4,9.00,43.47,1,8.76,42.73,5,9.24,44.18
