Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
5,8.200,8.200,1,7.675,7.675,4,8.049,8.049,2,7.873,7.873,7,10.219,10.219,3,8.022,8.022,6,8.510,8.510
6,11.528,19.728,1,11.173,18.848,5,11.591,19.640,3,11.402,19.275,2,9.046,19.264,4,11.581,19.603,7,11.518,20.027
7,10.858,30.585,1,10.600,29.448,6,10.724,30.364,3,10.679,29.953,4,10.745,30.009,2,10.349,29.951,5,10.011,30.037
7,10.360,40.944,5,11.198,40.646,3,10.244,40.608,1,10.527,40.480,2,10.475,40.483,6,10.731,40.681,4,10.576,40.613
7,9.653,50.596,3,9.567,50.212,5,9.736,50.343,1,9.545,50.025,2,9.550,50.033,6,9.743,50.424,4,9.720,50.332
7,10.029,1:00.625,3,9.992,1:00.204,5,10.120,1:00.463,2,10.164,1:00.189,1,10.131,1:00.163,6,10.068,1:00.491,4,10.065,1:00.396
7,9.858,1:10.482,3,9.898,1:10.101,5,9.913,1:10.375,2,9.724,1:09.913,1,9.746,1:09.908,6,9.919,1:10.410,4,9.763,1:10.159
7,9.748,1:20.230,3,9.603,1:19.704,6,9.674,1:20.049,2,9.780,1:19.692,1,9.726,1:19.634,5,9.567,1:19.977,4,9.625,1:19.784
7,9.666,1:29.895,3,9.721,1:29.425,5,9.604,1:29.653,1,9.495,1:29.187,2,9.569,1:29.203,6,9.753,1:29.729,4,9.680,1:29.463
6,9.430,1:39.325,4,9.689,1:39.113,5,9.623,1:39.275,1,9.636,1:38.822,3,9.741,1:38.943,7,9.624,1:39.353,2,9.457,1:38.919
6,9.445,1:48.770,4,9.458,1:48.570,7,9.546,1:48.820,2,9.699,1:48.520,1,9.435,1:48.377,3,9.191,1:48.544,5,9.676,1:48.595
6,9.676,1:58.445,4,9.272,1:57.842,7,9.732,1:58.552,1,8.966,1:57.486,2,9.219,1:57.596,3,9.204,1:57.747,5,9.295,1:57.890
6,9.834,2:08.279,5,10.393,2:08.235,7,9.953,2:08.505,2,9.579,2:07.065,1,9.079,2:06.674,3,9.411,2:07.157,4,9.314,2:07.203
5,10.41,2:18.683,6,10.85,2:19.085,7,10.78,2:19.282,3,9.67,2:16.728,2,10.06,2:16.728,1,9.53,2:16.686,4,9.74,2:16.937
