Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Takehiro KODERA POSITION,Takehiro KODERA LAP TIME,Takehiro KODERA ELAPSED TIME
1,6.837,6.837,2,6.904,6.904,3,7.130,7.130,4,7.247,7.247
2,9.116,15.953,1,8.950,15.854,4,9.282,16.411,3,9.132,16.379
2,8.783,24.735,1,8.719,24.573,4,8.667,25.078,3,8.584,24.962
2,8.800,33.534,1,8.920,33.493,4,8.779,33.856,3,8.875,33.836
2,9.27,42.797,1,9.20,42.692,4,11.31,45.166,3,9.14,42.968
