Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,CUI Liang POSITION,CUI Liang LAP TIME,CUI Liang ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME
5,14.818,14.818,2,14.554,14.554,1,14.316,14.316,4,14.706,14.706,3,14.668,14.668
4,10.519,25.337,5,10.955,25.508,3,11.003,25.319,2,10.159,24.864,1,10.187,24.855
5,9.934,35.270,4,9.680,35.187,3,9.822,35.140,1,9.830,34.694,2,9.916,34.770
5,9.820,45.090,4,9.889,45.076,3,9.842,44.982,2,9.947,44.640,1,9.757,44.526
4,9.711,54.801,5,9.731,54.806,3,9.634,54.616,2,9.651,54.291,1,9.728,54.254
4,9.431,1:04.231,5,9.441,1:04.246,3,9.476,1:04.092,1,9.328,1:03.618,2,9.373,1:03.626
4,9.251,1:13.481,5,9.478,1:13.723,3,9.179,1:13.270,1,9.230,1:12.848,2,9.239,1:12.864
4,9.350,1:22.831,5,9.689,1:23.412,3,9.383,1:22.652,1,9.429,1:22.276,2,9.710,1:22.574
4,10.13,1:32.960,5,10.01,1:33.422,2,9.88,1:32.525,3,10.53,1:32.805,1,9.38,1:31.945
