ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
2,9.230,9.230,4,9.350,9.350,5,9.450,9.450,6,9.500,9.500,1,8.900,8.900,3,9.320,9.320
3,12.470,21.710,2,12.220,21.570,4,12.320,21.770,5,12.300,21.810,1,12.430,21.330,6,12.830,22.150
3,11.650,33.360,2,11.410,32.980,4,11.720,33.500,5,11.740,33.560,1,11.570,32.900,6,11.420,33.580
2,10.950,44.320,3,11.490,44.480,5,11.270,44.770,6,11.250,44.810,1,11.310,44.220,4,11.000,44.580
3,11.740,56.060,2,11.400,55.890,4,11.400,56.170,6,11.430,56.250,1,11.580,55.800,5,11.660,56.250
3,10.690,1:06.750,2,10.820,1:06.720,4,10.590,1:06.760,5,10.590,1:06.850,1,10.400,1:06.200,6,10.760,1:07.020
2,10.990,1:17.750,3,11.040,1:17.760,4,11.110,1:17.870,5,11.050,1:17.910,1,11.140,1:17.340,6,11.090,1:18.110
4,10.420,1:28.170,3,10.040,1:27.800,1,9.600,1:27.480,6,10.390,1:28.300,2,10.270,1:27.620,5,10.130,1:28.250
3,10.100,1:38.270,2,10.360,1:38.160,4,10.860,1:38.350,5,10.110,1:38.410,1,10.280,1:37.900,6,10.370,1:38.630
4,10.270,1:48.550,5,10.390,1:48.560,2,10.090,1:48.440,3,10.080,1:48.500,1,10.410,1:48.310,6,10.080,1:48.710
3,9.850,1:58.400,6,10.350,1:58.910,4,10.190,1:58.630,5,10.230,1:58.740,2,10.070,1:58.380,1,9.660,1:58.380
2,9.280,2:07.680,6,10.320,2:09.240,4,9.910,2:08.550,5,9.950,2:08.690,3,10.160,2:08.550,1,9.280,2:07.670
2,9.740,2:17.430,6,11.000,2:20.240,4,10.490,2:19.040,5,10.390,2:19.080,3,10.110,2:18.660,1,9.640,2:17.310
2,9.970,2:27.400,6,11.330,2:31.570,4,10.380,2:29.420,5,10.420,2:29.510,3,10.690,2:29.350,1,9.960,2:27.280
