NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
1,6.83,6.83,2,7.06,7.06,4,7.29,7.29,3,7.17,7.17
1,9.02,15.85,2,8.95,16.01,4,9.09,16.38,3,8.92,16.09
1,8.50,24.35,2,8.46,24.47,4,8.66,25.04,3,8.46,24.55
1,8.53,32.88,3,8.63,33.10,4,8.81,33.85,2,8.40,32.95
2,8.75,41.63,3,8.83,41.93,4,9.00,42.85,1,8.58,41.53
