HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
1,12.37,12.37,2,12.50,12.50,3,12.64,12.64,4,12.81,12.81
1,9.58,21.95,2,9.57,22.07,3,9.52,22.16,4,9.52,22.33
1,9.40,31.35,2,9.39,31.46,3,9.37,31.53,4,9.33,31.66
1,9.17,40.52,2,9.15,40.61,3,9.15,40.68,4,9.13,40.79
1,9.11,49.63,2,9.12,49.73,3,9.14,49.82,4,9.16,49.95
1,9.12,58.75,2,9.12,58.85,3,9.09,58.91,4,9.07,59.02
1,9.10,1:07.85,2,9.12,1:07.97,3,9.14,1:08.05,4,9.13,1:08.15
1,9.02,1:16.87,2,8.99,1:16.96,3,8.93,1:16.98,4,8.87,1:17.02
2,9.11,1:25.98,4,9.37,1:26.33,1,8.81,1:25.79,3,9.17,1:26.19
