LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
5,9.78,9.78,4,9.65,9.65,2,9.16,9.16,3,9.30,9.30,1,9.00,9.00
5,12.40,22.18,4,12.42,22.07,2,12.56,21.72,3,12.62,21.92,1,12.63,21.63
5,12.39,34.57,4,12.36,34.43,2,12.39,34.11,3,12.33,34.25,1,12.35,33.98
5,12.38,46.95,4,12.38,46.81,2,12.42,46.53,3,12.43,46.68,1,12.44,46.42
5,12.43,59.38,4,12.46,59.27,2,12.51,59.04,3,12.50,59.18,1,12.49,58.91
4,11.82,1:11.20,3,11.81,1:11.08,2,12.04,1:11.08,5,12.07,1:11.25,1,12.05,1:10.96
4,9.92,1:21.12,1,9.84,1:20.92,3,10.04,1:21.12,5,10.04,1:21.29,2,10.07,1:21.03
1,9.99,1:31.11,2,10.25,1:31.17,4,10.24,1:31.36,5,10.18,1:31.47,3,10.22,1:31.25
1,10.33,1:41.44,2,10.35,1:41.52,4,10.32,1:41.68,5,10.31,1:41.78,3,10.37,1:41.62
1,10.76,1:52.20,2,10.82,1:52.34,4,10.91,1:52.59,5,10.95,1:52.73,3,10.84,1:52.46
1,10.38,2:02.58,2,10.32,2:02.66,4,10.21,2:02.80,5,10.15,2:02.88,3,10.27,2:02.73
1,9.93,2:12.51,2,9.96,2:12.62,3,9.98,2:12.78,5,10.08,2:12.96,4,10.09,2:12.82
1,9.91,2:22.42,2,9.93,2:22.55,3,9.86,2:22.64,4,9.93,2:22.89,5,10.10,2:22.92
1,10.13,2:32.547,2,10.24,2:32.784,3,10.22,2:32.851,4,10.38,2:33.267,5,10.36,2:33.279
