Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
4,14.246,14.246,1,13.820,13.820,2,13.835,13.835,3,13.851,13.851
3,10.022,24.267,2,10.287,24.106,1,10.091,23.926,4,10.460,24.310
3,9.654,33.921,2,9.779,33.884,1,9.880,33.805,4,9.763,34.073
4,9.815,43.735,2,9.743,43.627,1,9.409,43.213,3,9.576,43.648
4,9.888,53.623,2,9.422,53.049,1,9.708,52.921,3,9.599,53.247
4,9.626,1:03.248,2,9.748,1:02.797,1,9.756,1:02.676,3,9.702,1:02.948
3,9.454,1:12.701,2,9.755,1:12.552,1,9.781,1:12.457,4,9.809,1:12.757
2,9.517,1:22.218,4,9.993,1:22.544,1,9.643,1:22.099,3,9.716,1:22.472
2,9.52,1:31.733,4,9.47,1:32.013,1,9.55,1:31.649,3,9.50,1:31.970
