NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,12.77,12.77,1,12.66,,4,12.97,12.97,5,13.06,13.06,3,12.87,12.87
3,9.57,22.34,1,9.49,,4,9.49,22.46,5,9.45,22.51,2,9.37,22.24
3,9.40,31.74,1,9.48,,4,9.44,31.90,5,9.47,31.98,2,9.40,31.64
2,9.16,40.90,5,9.63,,1,8.83,40.73,3,8.95,40.93,4,9.43,41.07
3,9.13,50.03,5,9.04,,1,9.13,49.86,2,9.02,49.95,4,9.07,50.14
3,9.14,59.17,5,9.19,,1,9.10,58.96,2,9.10,59.05,4,9.20,59.34
3,8.99,1:08.16,5,9.10,,1,8.99,1:07.95,2,8.99,1:08.04,4,8.95,1:08.29
3,8.99,1:17.15,5,9.33,,1,8.96,1:16.91,2,8.95,1:16.99,4,9.05,1:17.34
3,9.19,1:26.332,5,10.38,,1,9.23,1:26.125,2,9.26,1:26.239,4,9.67,1:26.996
