BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
3,7.59,7.59,1,7.28,7.28,2,7.50,7.50,4,7.76,7.76,5,7.86,7.86
3,9.67,17.26,1,9.35,16.63,2,9.46,16.96,4,9.56,17.32,5,9.50,17.36
3,8.98,26.24,1,8.92,25.55,2,9.11,26.07,5,9.03,26.35,4,8.91,26.27
5,27.57,53.81,1,9.10,34.65,2,9.32,35.39,3,9.31,35.66,4,25.70,51.97
5,13.42,1:07.23,1,9.27,43.92,3,9.82,45.21,2,9.42,45.08,4,12.26,1:04.23
