SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
4,10.04,10.04,6,10.21,10.21,2,9.65,9.65,3,9.86,9.86,5,10.13,10.13,1,9.55,9.55
4,13.61,23.65,6,13.67,23.88,2,13.61,23.26,3,13.60,23.46,5,13.61,23.74,1,13.60,23.15
5,12.75,36.40,6,12.56,36.44,1,12.81,36.07,2,12.70,36.16,4,12.59,36.33,3,13.02,36.17
3,11.24,47.64,2,11.19,47.63,1,11.46,47.53,5,11.70,47.86,4,11.44,47.77,6,11.80,47.97
5,10.86,58.50,1,10.67,58.30,2,10.84,58.37,4,10.63,58.49,3,10.62,58.39,6,10.70,58.67
6,10.19,1:08.69,4,10.12,1:08.42,5,10.16,1:08.53,1,9.73,1:08.22,2,9.91,1:08.30,3,9.65,1:08.32
5,9.60,1:18.29,4,9.81,1:18.23,6,9.79,1:18.32,1,9.70,1:17.92,3,9.83,1:18.13,2,9.70,1:18.02
1,9.10,1:27.39,3,9.37,1:27.60,6,9.63,1:27.95,2,9.62,1:27.54,5,9.62,1:27.75,4,9.64,1:27.66
1,9.12,1:36.51,3,9.15,1:36.75,6,9.08,1:37.03,2,9.07,1:36.61,5,9.15,1:36.90,4,9.17,1:36.83
1,8.92,1:45.43,3,8.89,1:45.64,5,8.81,1:45.84,2,8.92,1:45.53,6,9.04,1:45.94,4,8.90,1:45.73
5,20.17,2:05.60,1,8.93,1:54.57,3,8.90,1:54.74,6,34.81,2:20.34,4,8.87,1:54.81,2,8.94,1:54.67
5,11.33,2:16.93,1,8.81,2:03.38,4,9.83,2:04.57,6,19.59,2:39.93,3,9.15,2:03.96,2,8.81,2:03.48
5,14.66,2:31.59,1,8.93,2:12.31,4,9.67,2:14.24,6,15.98,2:55.91,3,9.07,2:13.03,2,8.94,2:12.42
4,20.48,2:52.061,1,9.30,2:21.603,3,9.76,2:23.995,5,15.90,3:11.810,0,,PEN,2,9.28,2:21.697
