Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME
2,14.016,14.016,3,14.236,14.236,4,14.353,14.353,1,13.867,13.867
1,10.240,24.256,3,10.437,24.673,4,10.404,24.757,2,10.498,24.365
1,9.797,34.052,2,9.537,34.210,4,9.718,34.475,3,9.855,34.219
2,9.351,43.403,3,9.195,43.404,4,9.234,43.709,1,8.808,43.027
3,9.450,52.853,2,9.282,52.686,4,9.307,53.015,1,9.391,52.417
3,9.359,1:02.211,1,9.202,1:01.888,4,9.304,1:02.319,2,9.519,1:01.936
3,9.208,1:11.419,1,9.371,1:11.258,4,9.339,1:11.657,2,9.461,1:11.396
2,9.440,1:20.858,1,9.287,1:20.545,4,9.415,1:21.072,3,9.477,1:20.873
4,10.43,1:31.283,1,9.89,1:30.430,3,9.78,1:30.844,2,9.58,1:30.451
