KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME
3,12.99,12.99,2,12.87,12.87,5,13.38,,4,13.13,13.13,1,12.75,12.75
3,9.29,22.28,2,9.36,22.23,5,9.26,,4,9.30,22.43,1,9.27,22.02
2,8.88,31.16,4,9.23,31.46,5,8.98,,3,8.87,31.30,1,9.05,31.07
2,9.04,40.20,5,9.15,40.61,4,8.94,,3,9.03,40.33,1,9.04,40.11
2,9.02,49.22,5,9.39,50.00,4,8.88,,3,9.00,49.33,1,9.03,49.14
2,9.14,58.36,5,9.71,59.71,4,9.09,,3,9.05,58.38,1,9.11,58.25
4,9.56,1:07.92,5,10.05,1:09.76,3,9.03,,1,8.94,1:07.32,2,9.17,1:07.42
4,10.17,1:18.09,5,10.28,1:20.04,3,9.05,,1,9.15,1:16.47,2,9.15,1:16.57
4,11.03,1:29.12,5,10.34,1:30.38,2,9.50,,1,9.33,1:25.80,3,9.85,1:26.42
