Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
4,9.960,9.960,2,9.720,9.720,6,10.170,10.170,1,8.660,8.660,3,9.750,9.750,5,9.980,9.980
5,13.050,23.010,4,13.000,22.730,6,13.020,23.200,1,13.730,22.390,2,12.750,22.500,3,12.690,22.670
5,12.980,36.000,4,12.990,35.720,6,12.980,36.190,1,13.200,35.590,2,13.090,35.600,3,13.020,35.700
3,12.840,48.850,4,13.180,48.900,6,12.970,49.160,1,13.090,48.690,2,13.110,48.710,5,13.200,48.900
2,10.820,59.670,5,11.140,1:00.050,6,11.110,1:00.280,1,10.950,59.640,3,11.030,59.740,4,10.980,59.890
2,11.110,1:10.790,4,10.890,1:10.950,6,10.940,1:11.230,1,10.730,1:10.370,3,11.130,1:10.870,5,11.110,1:11.000
2,10.430,1:21.230,4,10.370,1:21.320,6,10.540,1:21.780,1,10.660,1:21.040,5,10.510,1:21.390,3,10.300,1:21.310
2,10.100,1:31.330,3,10.310,1:31.630,6,10.640,1:32.420,1,9.480,1:30.520,4,10.380,1:31.770,5,10.600,1:31.910
3,10.150,1:41.490,4,10.360,1:41.990,6,10.520,1:42.950,1,9.990,1:40.510,2,9.610,1:41.390,5,10.470,1:42.380
2,10.080,1:51.570,3,10.450,1:52.450,6,10.890,1:53.850,1,10.120,1:50.640,4,11.110,1:52.500,5,10.520,1:52.910
2,10.360,2:01.930,3,10.290,2:02.740,6,11.010,2:04.860,1,10.450,2:01.090,4,11.000,2:03.510,5,10.760,2:03.670
2,10.570,2:12.510,3,10.650,2:13.400,6,11.180,2:16.050,1,10.210,2:11.300,4,11.380,2:14.900,5,11.320,2:15.000
2,10.930,2:23.450,3,11.170,2:24.570,6,11.130,2:27.180,1,10.770,2:22.080,5,11.940,2:26.840,4,11.580,2:26.580
2,11.230,2:34.680,3,11.190,2:35.770,6,11.450,2:38.640,1,11.320,2:33.400,5,11.630,2:38.480,4,11.710,2:38.300
