CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Anouk LEBLANC-BOUCHER POSITION,Anouk LEBLANC-BOUCHER LAP TIME,Anouk LEBLANC-BOUCHER ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME
4,9.546,9.546,5,10.173,10.173,2,9.511,9.511,3,9.516,9.516,1,9.186,9.186,6,10.393,10.393
3,12.253,21.798,6,12.110,22.282,1,11.955,21.465,4,12.348,21.863,2,12.494,21.680,5,11.839,22.232
2,11.800,33.597,5,11.733,34.015,4,12.160,33.625,3,11.756,33.619,1,11.788,33.467,6,11.888,34.120
3,12.161,45.758,5,11.992,46.006,1,11.941,45.566,4,12.170,45.789,2,12.126,45.593,6,11.905,46.024
6,11.455,57.212,2,10.890,56.896,1,11.263,56.828,5,11.379,57.167,4,11.453,57.046,3,10.880,56.904
6,10.269,1:07.481,4,10.443,1:07.339,1,10.355,1:07.182,5,10.239,1:07.406,3,10.253,1:07.298,2,10.289,1:07.192
6,10.823,1:18.304,3,10.749,1:18.087,2,10.803,1:17.985,4,10.771,1:18.176,5,10.939,1:18.237,1,10.724,1:17.915
5,10.539,1:28.842,3,10.631,1:28.718,2,10.719,1:28.703,4,10.654,1:28.830,1,10.456,1:28.692,6,10.998,1:28.913
4,10.066,1:38.908,1,10.109,1:38.827,2,10.174,1:38.877,5,10.232,1:39.062,6,10.377,1:39.069,3,9.969,1:38.882
5,10.339,1:49.247,4,10.420,1:49.247,2,10.248,1:49.124,3,10.181,1:49.243,6,10.217,1:49.285,1,10.176,1:49.058
2,10.009,1:59.255,5,10.177,1:59.423,1,9.255,1:58.378,4,10.059,1:59.301,6,10.204,1:59.488,3,10.202,1:59.259
2,10.198,2:09.453,5,10.221,2:09.643,1,11.048,2:09.426,4,10.295,2:09.596,6,10.281,2:09.768,3,10.285,2:09.544
2,10.209,2:19.662,6,10.558,2:20.200,1,10.211,2:19.637,3,10.286,2:19.881,5,10.365,2:20.133,4,10.379,2:19.923
1,10.39,2:30.052,5,10.56,2:30.759,4,10.70,2:30.333,3,10.44,2:30.318,6,10.75,2:30.876,2,10.26,2:30.174
