PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME
3,13.85,13.85,4,13.93,13.93,5,14.01,14.01,2,13.78,13.78,1,13.74,13.74
3,10.26,24.11,4,10.34,24.27,5,10.34,24.35,2,10.17,23.95,1,10.04,23.78
3,10.03,34.14,4,10.00,34.27,5,10.02,34.37,1,9.95,33.90,2,10.13,33.91
1,9.69,43.83,4,9.81,44.08,5,9.77,44.14,2,9.95,43.85,3,10.06,43.97
1,9.98,53.81,2,9.91,53.99,3,9.95,54.09,5,10.53,54.38,4,10.13,54.10
1,9.92,1:03.73,2,9.92,1:03.91,3,9.93,1:04.02,5,9.98,1:04.36,4,10.00,1:04.10
1,9.85,1:13.58,2,9.82,1:13.73,3,9.79,1:13.81,5,10.00,1:14.36,4,9.80,1:13.90
1,9.83,1:23.41,2,9.77,1:23.50,3,9.77,1:23.58,5,10.40,1:24.76,4,9.78,1:23.68
2,9.70,1:33.11,1,9.43,1:32.93,3,9.64,1:33.22,5,10.88,1:35.64,4,9.74,1:33.42
