Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
1,6.77,6.77,3,7.10,7.10,2,6.97,6.97,5,7.58,7.58,4,7.23,7.23
1,9.16,15.93,3,9.05,16.15,2,9.05,16.02,5,9.81,17.39,4,9.05,16.28
4,9.21,25.14,1,8.54,24.69,3,9.04,25.06,5,9.53,26.92,2,8.63,24.91
3,9.13,34.27,1,8.70,33.39,4,9.44,34.50,5,9.63,36.55,2,8.82,33.73
0,,PEN,1,9.05,42.434,3,9.41,43.902,4,9.85,46.400,2,9.11,42.840
