Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
4,14.402,14.402,1,14.032,14.032,2,14.194,14.194,3,14.310,14.310
2,10.802,25.204,1,11.065,25.097,3,11.083,25.277,4,11.159,25.469
4,10.822,36.025,2,10.809,35.905,3,10.667,35.944,1,10.398,35.867
4,10.861,46.886,1,10.661,46.566,2,10.690,46.633,3,10.804,46.671
4,9.530,56.415,1,9.585,56.150,2,9.542,56.175,3,9.691,56.361
4,9.520,1:05.935,1,9.434,1:05.584,3,9.560,1:05.735,2,9.314,1:05.674
4,11.190,1:17.124,1,9.244,1:14.828,2,9.237,1:14.972,3,9.306,1:14.980
3,7.320,1:24.444,1,9.339,1:24.166,4,10.116,1:25.087,2,9.202,1:24.181
3,9.54,1:33.982,1,9.55,1:33.712,4,10.18,1:35.261,2,9.67,1:33.846
