Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,6.81,6.81,3,7.09,7.09,2,6.92,6.92,4,7.11,7.11
1,9.02,15.83,4,9.19,16.28,2,8.99,15.91,3,9.00,16.11
2,8.70,24.53,4,8.55,24.83,1,8.56,24.47,3,8.48,24.59
2,8.73,33.26,4,8.66,33.49,1,8.66,33.13,3,8.81,33.40
2,8.94,42.192,4,9.07,42.557,1,8.83,41.952,3,8.99,42.390
