EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME
1,13.62,13.62,2,13.64,13.64,4,13.77,13.77,3,13.74,13.74,5,13.94,13.94
1,10.17,23.79,2,10.25,23.89,4,10.43,24.20,3,10.30,24.04,5,10.37,24.31
2,9.79,33.58,4,9.80,33.69,3,9.44,33.64,1,9.30,33.34,5,9.49,33.80
1,8.88,42.46,4,9.09,42.78,3,9.01,42.65,2,9.15,42.49,5,9.14,42.94
1,8.96,51.42,4,8.97,51.75,3,8.99,51.64,2,9.05,51.54,5,9.09,52.03
1,9.08,1:00.50,4,9.08,1:00.83,3,9.07,1:00.71,2,9.07,1:00.61,5,9.09,1:01.12
1,9.23,1:09.73,4,9.41,1:10.24,3,9.24,1:09.95,2,9.22,1:09.83,5,9.29,1:10.41
1,9.42,1:19.15,4,9.69,1:19.93,3,9.42,1:19.37,2,9.41,1:19.24,5,9.56,1:19.97
1,9.63,1:28.78,4,10.26,1:30.182,3,9.76,1:29.13,2,9.64,1:28.88,5,10.84,1:30.794
