Simon FRANCIS POSITION,Simon FRANCIS LAP TIME,Simon FRANCIS ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
3,7.13,7.13,1,6.69,6.69,2,6.86,6.86,4,7.26,7.26,5,7.36,7.36
3,9.07,16.20,1,8.69,15.38,2,8.69,15.55,4,9.00,16.26,5,9.05,16.41
5,9.35,25.55,1,8.30,23.68,2,8.23,23.78,3,8.56,24.82,4,8.50,24.91
5,9.28,34.83,1,8.32,32.00,2,8.34,32.12,3,8.64,33.46,4,8.70,33.61
5,9.55,44.38,1,8.60,40.60,2,8.62,40.74,3,8.70,42.16,4,8.83,42.44
