YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
6,8.799,8.799,3,8.189,8.189,4,8.422,8.422,1,7.549,7.549,5,8.758,8.758,2,7.767,7.767,7,9.311,9.311
6,10.251,19.050,4,10.208,18.397,3,9.970,18.392,1,9.399,16.948,5,9.914,18.672,2,9.426,17.193,7,10.654,19.965
6,9.795,28.845,3,9.149,27.547,4,9.213,27.605,1,9.022,25.970,5,9.433,28.105,2,9.037,26.230,7,9.298,29.262
6,9.791,38.636,3,9.677,37.224,4,9.720,37.325,1,9.247,35.217,5,9.377,37.482,2,9.221,35.451,7,9.657,38.919
6,9.800,48.436,3,10.238,47.462,4,10.147,47.472,1,9.571,44.788,5,10.350,47.831,2,9.606,45.057,7,10.033,48.952
6,10.117,58.553,3,10.242,57.704,4,10.379,57.850,1,9.771,54.558,5,10.069,57.900,2,9.707,54.764,7,10.405,59.356
6,9.806,1:08.359,4,10.197,1:07.901,3,10.043,1:07.893,1,10.178,1:04.736,5,10.192,1:08.092,2,10.141,1:04.905,7,10.995,1:10.351
6,9.897,1:18.255,4,9.807,1:17.708,3,9.517,1:17.410,1,10.644,1:15.380,5,9.795,1:17.887,2,10.585,1:15.489,7,11.593,1:21.945
6,10.144,1:28.399,4,9.661,1:27.369,3,9.764,1:27.174,1,10.890,1:26.270,5,9.579,1:27.466,2,10.803,1:26.292,7,11.984,1:33.928
6,10.013,1:38.412,4,10.162,1:37.531,2,9.972,1:37.146,1,10.866,1:37.136,5,10.218,1:37.683,3,10.889,1:37.181,7,12.269,1:46.197
6,9.979,1:48.392,3,10.292,1:47.822,2,10.357,1:47.503,5,10.792,1:47.928,1,9.563,1:47.246,4,10.731,1:47.912,7,13.252,1:59.449
4,9.907,1:58.299,3,9.753,1:57.576,2,9.623,1:57.126,6,11.420,1:59.348,1,9.805,1:57.051,5,10.918,1:58.830,7,12.595,2:12.044
4,9.956,2:08.254,3,9.805,2:07.381,2,9.855,2:06.981,6,13.399,2:12.747,1,9.921,2:06.973,5,10.653,2:09.483,7,12.811,2:24.855
4,10.345,2:18.599,3,10.207,2:17.588,2,10.265,2:17.246,6,15.040,2:27.787,1,9.576,2:16.549,5,10.974,2:20.457,7,12.878,2:37.733
