CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
2,13.27,13.27,1,13.25,13.25,3,13.43,13.43,4,13.63,13.63
3,10.38,23.65,1,10.27,23.52,2,10.21,23.64,4,10.21,23.84
4,9.85,33.50,2,9.67,33.19,1,9.47,33.11,3,9.43,33.27
4,10.04,43.54,2,10.11,43.30,1,10.05,43.16,3,10.14,43.41
4,10.07,53.61,2,10.04,53.34,1,10.07,53.23,3,10.05,53.46
4,10.05,1:03.66,2,10.03,1:03.37,1,10.01,1:03.24,3,10.02,1:03.48
4,9.82,1:13.48,2,9.92,1:13.29,1,9.95,1:13.19,3,9.92,1:13.40
3,9.88,1:23.36,4,10.08,1:23.37,1,9.72,1:22.91,2,9.89,1:23.29
2,9.40,1:32.760,3,9.90,1:33.264,1,9.60,1:32.505,0,,PEN
