SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
3,13.85,13.85,4,13.92,13.92,1,13.73,13.73,2,13.76,13.76
3,9.85,23.70,4,9.91,23.83,1,9.76,23.49,2,9.84,23.60
3,9.56,33.26,4,9.57,33.40,1,9.62,33.11,2,9.52,33.12
3,9.52,42.78,4,9.46,42.86,1,9.53,42.64,2,9.54,42.66
3,9.51,52.29,4,9.51,52.37,1,9.49,52.13,2,9.55,52.21
4,9.38,1:01.67,1,9.08,1:01.45,3,9.43,1:01.56,2,9.33,1:01.54
3,9.41,1:11.08,1,8.80,1:10.25,4,9.62,1:11.18,2,9.18,1:10.72
3,9.06,1:20.14,1,9.10,1:19.35,4,10.07,1:21.25,2,9.20,1:19.92
3,9.34,1:29.481,1,9.47,1:28.813,4,11.30,1:32.550,2,9.43,1:29.343
