Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
2,13.81,13.81,1,13.72,13.72,3,13.93,13.93,4,14.05,14.05
2,10.50,24.31,1,10.51,24.23,3,10.50,24.43,4,10.46,24.51
2,10.42,34.73,1,10.42,34.65,3,10.41,34.84,4,10.51,35.02
2,10.47,45.20,1,10.45,45.10,3,10.49,45.33,4,10.45,45.47
2,10.15,55.35,1,10.17,55.27,3,10.11,55.44,4,10.09,55.56
2,10.27,1:05.62,1,10.26,1:05.53,3,10.20,1:05.64,4,10.25,1:05.81
3,9.98,1:15.60,2,9.94,1:15.47,1,9.62,1:15.26,4,9.92,1:15.73
3,9.76,1:25.36,2,9.77,1:25.24,1,9.60,1:24.86,4,9.89,1:25.62
3,9.93,1:35.286,2,9.95,1:35.182,1,10.01,1:34.864,4,10.25,1:35.870
