Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,7.16,7.16,1,7.13,7.13,3,7.33,7.33,4,7.46,7.46
2,9.36,16.52,3,9.47,16.60,1,8.93,16.26,4,9.27,16.73
2,8.92,25.44,3,8.96,25.56,1,8.47,24.73,4,8.86,25.59
2,8.81,34.25,3,8.77,34.33,1,8.69,33.42,4,8.88,34.47
3,8.96,43.207,2,8.81,43.133,1,9.05,42.470,4,8.93,43.396
