Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Krystian KORECKI POSITION,Krystian KORECKI LAP TIME,Krystian KORECKI ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME
5,15.04,15.04,2,14.60,,4,14.92,14.92,3,14.75,14.75,1,14.43,
5,10.56,25.60,2,10.67,,3,10.49,25.41,4,10.68,25.43,1,10.68,
2,10.38,35.98,4,10.87,,1,10.51,35.92,3,10.65,36.08,5,21.49,
1,9.85,45.83,4,10.17,,2,10.04,45.96,3,10.19,46.27,5,14.78,
1,9.90,55.73,3,9.64,,2,9.88,55.84,4,9.91,56.18,5,11.17,
1,9.83,1:05.56,3,9.82,,2,9.82,1:05.66,4,9.86,1:06.04,5,11.01,
1,9.45,1:15.01,3,9.50,,2,9.52,1:15.18,4,9.99,1:16.03,5,11.97,
1,9.28,1:24.29,2,9.50,,2,9.59,1:24.77,4,10.45,1:26.48,5,11.30,
1,9.46,1:33.737,2,9.46,,2,9.86,1:34.613,3,10.77,1:37.234,5,15.40,
