KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME
2,12.75,12.75,1,12.43,12.43,3,12.88,12.88,4,13.08,13.08,5,13.20,13.20
2,9.38,22.13,1,9.38,21.81,3,9.43,22.31,4,9.51,22.59,5,9.54,22.74
2,9.10,31.23,1,9.35,31.16,3,9.30,31.61,4,9.50,32.09,5,9.55,32.29
2,9.54,40.77,1,9.54,40.70,3,9.33,40.94,4,9.44,41.53,5,9.47,41.76
3,9.70,50.47,1,9.38,50.08,2,9.45,50.39,4,9.51,51.04,5,9.58,51.34
3,9.79,1:00.26,1,9.85,59.93,2,9.71,1:00.10,4,9.58,1:00.62,5,9.66,1:01.00
3,9.31,1:09.57,1,9.49,1:09.42,2,9.37,1:09.47,4,9.30,1:09.92,5,9.43,1:10.43
3,9.41,1:18.98,2,9.44,1:18.86,1,9.38,1:18.85,4,9.27,1:19.19,5,9.69,1:20.12
2,9.75,1:28.73,2,9.87,1:28.73,1,9.54,1:28.39,4,10.32,1:29.51,5,9.97,1:30.09
2,9.57,1:38.30,3,9.95,1:38.68,1,9.53,1:37.92,4,9.88,1:39.39,5,9.71,1:39.80
2,9.79,1:48.09,3,10.02,1:48.70,1,9.28,1:47.20,4,9.69,1:49.08,5,9.99,1:49.79
2,9.66,1:57.75,3,9.85,1:58.55,1,9.31,1:56.51,4,9.62,1:58.70,5,10.04,1:59.83
2,9.34,2:07.09,3,9.53,2:08.08,1,9.35,2:05.86,4,9.48,2:08.18,5,9.74,2:09.57
2,9.54,2:16.63,3,9.69,2:17.77,1,9.40,2:15.26,4,9.67,2:17.85,5,9.64,2:19.21
2,9.30,2:25.93,3,9.66,2:27.43,1,9.55,2:24.81,4,9.96,2:27.81,5,9.86,2:29.07
2,9.54,2:35.47,3,9.94,2:37.37,1,9.77,2:34.58,4,10.30,2:38.11,5,9.78,2:38.85
2,9.86,2:45.33,3,9.97,2:47.34,1,9.65,2:44.23,4,9.83,2:47.94,5,10.25,2:49.10
2,9.81,2:55.14,3,9.89,2:57.23,1,9.62,2:53.85,4,9.62,2:57.56,5,10.15,2:59.25
2,9.63,3:04.77,3,9.76,3:06.99,1,9.47,3:03.32,4,9.44,3:07.00,5,9.84,3:09.09
2,9.71,3:14.48,3,9.89,3:16.88,1,9.34,3:12.66,4,9.98,3:16.98,5,9.86,3:18.95
2,9.49,3:23.97,3,10.13,3:27.01,1,9.96,3:22.62,4,10.21,3:27.19,5,9.87,3:28.82
2,9.82,3:33.79,3,10.19,3:37.20,1,9.95,3:32.57,4,10.40,3:37.59,5,9.80,3:38.62
2,10.13,3:43.92,3,10.09,3:47.29,1,9.93,3:42.50,4,9.90,3:47.49,5,9.98,3:48.60
2,9.79,3:53.71,4,10.29,3:57.58,1,9.75,3:52.25,3,9.95,3:57.44,5,10.36,3:58.96
2,9.53,4:03.24,4,10.17,4:07.75,1,9.36,4:01.61,3,9.80,4:07.24,5,10.12,4:09.08
2,9.65,4:12.89,4,9.91,4:17.66,1,9.53,4:11.14,3,9.63,4:16.87,5,9.75,4:18.83
2,9.82,4:22.711,4,10.23,4:27.895,1,9.76,4:20.906,3,9.68,4:26.556,5,9.73,4:28.563
