Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
2,7.563,7.563,3,7.592,7.592,1,7.501,7.501,4,7.633,7.633,5,8.006,8.006
2,10.181,17.744,3,10.337,17.928,4,10.447,17.947,1,10.089,17.722,5,10.168,18.174
3,10.401,28.144,4,10.267,28.195,2,10.148,28.095,1,9.944,27.665,5,10.242,28.416
2,9.619,37.762,3,9.653,37.847,4,9.818,37.912,1,9.803,37.468,5,9.714,38.129
2,10.089,47.851,3,10.041,47.888,4,10.066,47.977,1,10.118,47.586,5,10.139,48.267
2,10.007,57.858,3,10.251,58.138,4,10.188,58.165,1,10.163,57.748,5,10.088,58.355
2,10.108,1:07.966,3,9.927,1:08.065,4,9.958,1:08.123,1,10.018,1:07.766,5,9.986,1:08.340
2,9.843,1:17.808,4,9.807,1:17.871,3,9.736,1:17.859,1,9.786,1:17.551,5,9.803,1:18.143
3,9.658,1:27.466,2,9.563,1:27.434,4,9.729,1:27.587,1,9.637,1:27.188,5,9.650,1:27.793
2,9.447,1:36.913,3,9.568,1:37.002,4,9.460,1:37.047,1,9.446,1:36.633,5,9.537,1:37.329
2,9.428,1:46.340,3,9.524,1:46.526,4,9.480,1:46.527,1,9.442,1:46.074,5,9.416,1:46.744
4,9.756,1:56.095,2,9.167,1:55.692,3,9.465,1:55.991,1,9.218,1:55.292,5,9.587,1:56.330
4,10.031,2:06.125,2,9.263,2:04.955,3,9.710,2:05.700,1,9.372,2:04.663,5,9.994,2:06.324
4,10.66,2:16.778,2,9.76,2:14.709,3,10.11,2:15.809,1,9.66,2:14.319,0,,DQ
