LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,Petko DAPCHEV POSITION,Petko DAPCHEV LAP TIME,Petko DAPCHEV ELAPSED TIME,KHALIL Khairil Ridhwan POSITION,KHALIL Khairil Ridhwan LAP TIME,KHALIL Khairil Ridhwan ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME
2,9.59,9.59,4,9.90,9.90,1,9.46,9.46,3,9.75,9.75,5,10.06,,7,10.26,10.26,5,10.06,10.06
2,12.62,22.21,3,12.32,22.22,1,12.65,22.11,4,12.70,22.45,6,12.67,,7,12.54,22.80,5,12.50,22.56
3,10.93,33.14,1,10.71,32.93,2,10.93,33.04,4,10.86,33.31,7,17.93,,6,11.09,33.89,5,10.87,33.43
3,10.67,43.81,1,10.64,43.57,2,10.67,43.71,4,10.66,43.97,7,15.31,,6,10.64,44.53,5,10.69,44.12
3,10.46,54.27,1,10.56,54.13,2,10.51,54.22,4,10.45,54.42,7,11.87,,6,10.60,55.13,5,10.41,54.53
3,10.68,1:04.95,1,10.61,1:04.74,2,10.65,1:04.87,4,10.63,1:05.05,7,11.97,,6,10.69,1:05.82,5,10.65,1:05.18
2,10.33,1:15.28,1,10.47,1:15.21,3,10.46,1:15.33,4,10.44,1:15.49,7,14.02,,6,10.90,1:16.72,5,10.49,1:15.67
1,9.53,1:24.81,2,9.77,1:24.98,3,9.66,1:24.99,4,9.59,1:25.08,7,13.25,,6,11.55,1:28.27,5,9.84,1:25.51
1,9.22,1:34.03,4,9.45,1:34.43,2,9.17,1:34.16,3,9.16,1:34.24,7,12.91,,6,11.96,1:40.23,5,9.95,1:35.46
2,9.36,1:43.39,4,9.20,1:43.63,3,9.25,1:43.41,1,9.04,1:43.28,7,13.69,,6,14.18,1:54.41,5,10.28,1:45.74
3,9.37,1:52.76,4,9.26,1:52.89,2,9.25,1:52.66,1,9.22,1:52.50,7,12.81,,6,13.10,2:07.51,5,10.58,1:56.32
3,9.45,2:02.21,4,9.51,2:02.40,2,9.42,2:02.08,1,9.30,2:01.80,7,12.77,,6,14.79,2:22.30,5,11.13,2:07.45
4,10.00,2:12.21,3,9.60,2:12.00,2,9.71,2:11.79,1,9.39,2:11.19,7,12.80,,6,13.41,2:35.71,5,11.16,2:18.61
4,10.31,2:22.52,3,9.93,2:21.93,2,10.06,2:21.85,1,9.76,2:20.95,7,17.51,3:09.57,6,13.47,2:49.18,5,11.09,2:29.70
