Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME
2,10.02,10.02,1,9.89,9.89,5,10.34,10.34,3,10.16,10.16,4,10.33,10.33
2,13.98,24.00,1,14.04,23.93,4,13.81,24.15,3,13.90,24.06,5,13.85,24.18
2,13.37,37.37,1,13.31,37.24,4,13.52,37.67,3,13.46,37.52,5,13.59,37.77
2,13.15,50.52,1,13.17,50.41,4,13.14,50.81,3,13.15,50.67,5,13.16,50.93
3,12.94,1:03.46,2,12.99,1:03.40,4,12.81,1:03.62,1,12.61,1:03.28,5,12.79,1:03.72
2,12.02,1:15.48,3,12.19,1:15.59,4,12.15,1:15.77,1,12.18,1:15.46,5,12.14,1:15.86
2,11.14,1:26.62,3,11.25,1:26.84,4,11.18,1:26.95,1,11.16,1:26.62,5,11.30,1:27.16
2,10.53,1:37.15,3,10.40,1:37.24,4,10.42,1:37.37,1,10.46,1:37.08,5,10.62,1:37.78
1,10.39,1:47.54,3,10.53,1:47.77,4,10.52,1:47.89,2,10.51,1:47.59,5,11.06,1:48.84
1,9.86,1:57.40,3,9.99,1:57.76,4,9.95,1:57.84,2,9.90,1:57.49,5,11.30,2:00.14
1,9.86,2:07.26,4,10.01,2:07.77,3,9.72,2:07.56,2,9.86,2:07.35,5,11.64,2:11.78
1,10.06,2:17.32,4,10.20,2:17.97,3,10.00,2:17.56,2,10.09,2:17.44,5,12.28,2:24.06
1,10.16,2:27.48,4,10.51,2:28.48,3,10.05,2:27.61,2,10.14,2:27.58,5,12.35,2:36.41
2,10.37,2:37.841,4,11.32,2:39.793,1,10.04,2:37.641,3,10.42,2:37.991,5,12.60,2:49.008
