Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
4,7.37,7.37,2,7.24,7.24,1,7.17,7.17,3,7.33,7.33
3,9.33,16.70,2,9.33,16.57,1,9.26,16.43,4,9.53,16.86
2,8.47,25.17,3,8.60,25.17,1,8.64,25.07,4,8.48,25.34
2,8.64,33.81,3,8.75,33.92,1,8.65,33.72,4,30.89,56.23
2,8.59,42.392,3,8.55,42.465,1,8.57,42.289,4,20.77,1:16.995
