ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Gabrielle WILLIAMSON-DERRAUGH POSITION,Gabrielle WILLIAMSON-DERRAUGH LAP TIME,Gabrielle WILLIAMSON-DERRAUGH ELAPSED TIME,Anna SAMARINA POSITION,Anna SAMARINA LAP TIME,Anna SAMARINA ELAPSED TIME
1,10.20,10.20,4,10.64,10.64,3,10.52,10.52,2,10.34,10.34,5,10.85,10.85
2,13.69,23.89,4,13.50,24.14,1,13.24,23.76,3,13.69,24.03,5,13.46,24.31
2,13.05,36.94,4,12.99,37.13,1,13.04,36.80,3,13.00,37.03,5,12.96,37.27
3,12.97,49.91,1,12.36,49.49,2,12.94,49.74,4,12.92,49.95,5,12.84,50.11
3,11.44,1:01.35,2,11.67,1:01.16,1,11.31,1:01.05,4,11.49,1:01.44,5,11.47,1:01.58
3,12.35,1:13.70,2,12.36,1:13.52,1,12.37,1:13.42,4,12.35,1:13.79,5,12.36,1:13.94
3,12.05,1:25.75,2,12.09,1:25.61,1,12.10,1:25.52,4,12.02,1:25.81,5,12.02,1:25.96
4,11.21,1:36.96,1,10.95,1:36.56,2,11.29,1:36.81,3,11.02,1:36.83,5,11.17,1:37.13
4,10.26,1:47.22,1,10.36,1:46.92,2,10.23,1:47.04,3,10.25,1:47.08,5,10.23,1:47.36
4,10.23,1:57.45,2,10.28,1:57.20,1,10.15,1:57.19,3,10.25,1:57.33,5,10.23,1:57.59
3,9.93,2:07.38,4,10.23,2:07.43,1,10.05,2:07.24,2,10.01,2:07.34,5,10.47,2:08.06
1,9.51,2:16.89,4,10.09,2:17.52,2,10.11,2:17.35,3,10.08,2:17.42,5,10.84,2:18.90
1,9.70,2:26.59,4,10.12,2:27.64,2,10.04,2:27.39,3,10.09,2:27.51,5,11.19,2:30.09
1,10.22,2:36.810,4,10.13,2:37.761,2,10.27,2:37.660,3,10.22,2:37.727,5,11.59,2:41.673
