Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Lucie SVITILOVA POSITION,Lucie SVITILOVA LAP TIME,Lucie SVITILOVA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
5,11.022,11.022,2,10.766,10.766,6,11.078,11.078,4,10.888,10.888,3,10.795,10.795,1,10.583,10.583
4,14.251,25.272,3,14.483,25.249,6,14.406,25.484,2,14.132,25.019,5,14.555,25.349,1,14.299,24.882
4,14.067,39.338,1,13.618,38.867,6,14.164,39.648,2,14.132,39.151,3,13.908,39.257,5,14.478,39.360
3,13.423,52.761,2,13.885,52.751,5,13.553,53.200,4,13.900,53.050,6,13.962,53.219,1,13.358,52.717
3,12.211,1:04.972,2,11.978,1:04.729,6,12.046,1:05.245,4,11.986,1:05.036,5,11.995,1:05.213,1,11.937,1:04.653
6,11.861,1:16.832,2,11.809,1:16.537,4,11.410,1:16.655,5,11.694,1:16.730,3,11.427,1:16.640,1,11.858,1:16.511
6,10.521,1:27.353,3,10.526,1:27.063,1,10.220,1:26.875,5,10.460,1:27.190,4,10.470,1:27.110,2,10.484,1:26.995
6,10.020,1:37.373,2,10.009,1:37.072,1,10.116,1:36.991,5,10.123,1:37.312,4,10.157,1:37.266,3,10.167,1:37.161
6,9.980,1:47.352,4,9.769,1:46.840,1,9.683,1:46.673,5,9.980,1:47.292,2,9.487,1:46.752,3,9.602,1:46.763
6,9.937,1:57.289,4,9.895,1:56.734,1,9.558,1:56.231,5,9.981,1:57.273,2,9.554,1:56.306,3,9.632,1:56.394
6,10.681,2:07.969,4,9.839,2:06.572,2,9.464,2:05.695,5,10.533,2:07.805,1,9.386,2:05.692,3,9.443,2:05.836
6,12.544,2:20.513,4,10.240,2:16.812,1,9.666,2:15.360,5,11.042,2:18.847,3,9.766,2:15.457,2,9.612,2:15.448
6,12.814,2:33.326,4,10.763,2:27.574,1,9.711,2:25.070,5,11.607,2:30.453,2,9.781,2:25.238,3,9.874,2:25.322
0,,DQ,4,11.33,2:38.903,1,10.05,2:35.117,5,12.04,2:42.489,2,10.02,2:35.249,3,10.35,2:35.669
