VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,Sofya BOYTSOVA POSITION,Sofya BOYTSOVA LAP TIME,Sofya BOYTSOVA ELAPSED TIME
2,15.05,15.05,4,15.16,15.16,3,15.14,,1,14.96,14.96
3,11.64,26.69,4,11.62,26.78,2,11.43,,1,11.49,26.45
4,11.51,38.20,3,11.35,38.13,2,11.53,,1,11.57,38.02
4,10.31,48.51,1,10.06,48.19,3,10.27,,2,10.26,48.28
4,10.18,58.69,1,10.27,58.46,3,10.24,,2,10.27,58.55
3,9.48,1:08.17,2,9.70,1:08.16,1,9.48,,4,9.74,1:08.29
1,9.15,1:17.32,4,9.55,1:17.71,2,9.46,,3,9.40,1:17.69
1,9.23,1:26.55,2,9.68,1:27.39,4,9.94,,3,9.71,1:27.40
1,9.77,1:36.32,2,10.00,1:37.39,4,10.23,,3,10.11,1:37.51
