BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Gloria MALFATTI POSITION,Gloria MALFATTI LAP TIME,Gloria MALFATTI ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME
4,11.19,11.19,2,10.95,10.95,3,10.96,10.96,1,10.85,10.85,5,11.28,11.28,6,11.32,11.32
5,14.85,26.04,3,14.91,25.86,4,14.98,25.94,2,14.89,25.74,1,14.35,25.63,6,14.79,26.11
3,14.78,40.82,1,14.86,40.72,5,15.06,41.00,4,15.18,40.92,2,15.17,40.80,6,15.00,41.11
1,14.05,54.87,2,14.26,54.98,5,14.33,55.33,4,14.30,55.22,3,14.29,55.09,6,14.35,55.46
1,13.82,1:08.69,2,13.80,1:08.78,5,13.83,1:09.16,4,13.85,1:09.07,3,13.82,1:08.91,6,13.81,1:09.27
1,13.47,1:22.16,2,13.49,1:22.27,5,13.45,1:22.61,4,13.46,1:22.53,3,13.45,1:22.36,6,13.47,1:22.74
3,12.45,1:34.61,2,12.32,1:34.59,5,12.31,1:34.92,4,12.33,1:34.86,1,12.08,1:34.44,6,12.30,1:35.04
3,10.76,1:45.37,2,10.67,1:45.26,4,10.53,1:45.45,5,10.81,1:45.67,1,10.70,1:45.14,6,10.74,1:45.78
3,10.66,1:56.03,2,10.63,1:55.89,4,10.64,1:56.09,5,10.61,1:56.28,1,10.63,1:55.77,6,10.64,1:56.42
4,10.43,2:06.46,1,10.29,2:06.18,3,10.26,2:06.35,5,10.47,2:06.75,2,10.45,2:06.22,6,10.69,2:07.11
4,10.14,2:16.60,1,9.94,2:16.12,2,9.85,2:16.20,5,10.72,2:17.47,3,10.10,2:16.32,6,11.23,2:18.34
4,10.29,2:26.89,1,10.12,2:26.24,2,10.12,2:26.32,5,11.15,2:28.62,3,10.09,2:26.41,6,11.77,2:30.11
4,10.61,2:37.50,1,10.19,2:36.43,2,10.20,2:36.52,5,11.66,2:40.28,3,10.26,2:36.67,6,12.50,2:42.61
4,11.61,2:49.106,1,10.29,2:46.712,2,10.29,2:46.808,5,12.15,2:52.428,3,10.48,2:47.145,6,13.28,2:55.887
