ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
1,9.15,9.15,2,9.27,9.27,6,9.66,9.66,4,9.52,9.52,5,9.59,9.59,3,9.40,9.40
2,12.50,21.65,3,12.43,21.70,6,12.39,22.05,4,12.22,21.74,1,11.91,21.50,5,12.45,21.85
3,11.33,32.98,1,10.90,32.60,6,11.37,33.42,4,11.44,33.18,2,11.33,32.83,5,11.44,33.29
3,11.39,44.37,1,11.48,44.08,6,11.23,44.65,4,11.31,44.49,2,11.41,44.24,5,11.31,44.60
3,12.08,56.45,1,12.04,56.12,6,12.15,56.80,4,12.08,56.57,2,12.06,56.30,5,12.07,56.67
3,11.63,1:08.08,2,11.78,1:07.90,6,11.66,1:08.46,4,11.68,1:08.25,1,11.54,1:07.84,5,11.68,1:08.35
3,11.11,1:19.19,2,11.09,1:18.99,6,11.07,1:19.53,4,11.10,1:19.35,1,11.12,1:18.96,5,11.07,1:19.42
3,10.09,1:29.28,1,9.95,1:28.94,6,10.10,1:29.63,4,10.08,1:29.43,2,10.12,1:29.08,5,10.08,1:29.50
3,9.83,1:39.11,2,10.05,1:38.99,6,9.82,1:39.45,4,9.79,1:39.22,1,9.88,1:38.96,5,9.78,1:39.28
2,9.94,1:49.05,4,10.33,1:49.32,5,10.01,1:49.46,1,9.69,1:48.91,6,10.58,1:49.54,3,9.87,1:49.15
2,9.68,1:58.73,4,9.95,1:59.27,6,10.14,1:59.60,1,9.69,1:58.60,5,9.82,1:59.36,3,9.69,1:58.84
2,9.57,2:08.30,5,10.11,2:09.38,6,10.37,2:09.97,1,9.64,2:08.24,4,9.96,2:09.32,3,9.62,2:08.46
2,9.63,2:17.93,5,10.56,2:19.94,6,10.69,2:20.66,1,9.52,2:17.76,4,9.89,2:19.21,3,9.73,2:18.19
2,9.62,2:27.546,0,,PEN,5,10.97,2:31.623,1,9.72,2:27.477,4,10.14,2:29.341,3,10.20,2:28.389
