Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
2,13.27,13.27,1,13.19,13.19,3,13.49,13.49,5,13.75,13.75,4,13.63,13.63
2,10.36,23.63,1,10.14,23.34,5,10.79,24.28,3,10.17,23.93,4,10.33,23.96
2,10.57,34.21,1,10.72,34.06,5,22.81,47.10,3,10.43,34.37,4,10.43,34.39
3,10.41,44.62,2,10.46,44.53,5,14.27,1:01.37,1,10.16,44.53,4,10.25,44.65
3,10.00,54.62,1,9.99,54.52,5,15.03,1:16.41,2,10.07,54.61,4,10.07,54.72
3,10.11,1:04.73,1,10.01,1:04.54,5,13.37,1:29.78,2,10.03,1:04.65,4,10.01,1:04.73
4,9.93,1:14.67,2,9.95,1:14.50,5,12.96,1:42.75,1,9.81,1:14.46,3,9.87,1:14.61
2,9.59,1:24.27,0,,,4,12.57,1:55.32,1,9.68,1:24.15,3,9.73,1:24.34
3,10.03,1:34.300,2,,1:34.187,5,10.36,2:05.676,1,9.99,1:34.136,4,10.11,1:34.441
