CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
1,12.59,12.59,3,12.80,12.80,1,12.59,12.59,4,12.92,12.92,5,13.01,
2,9.65,22.24,1,9.35,22.15,4,9.72,22.31,3,9.37,22.29,5,9.49,
2,9.53,31.77,1,9.60,31.75,5,9.75,32.06,3,9.68,31.97,4,9.48,
1,9.23,41.00,5,30.14,1:01.89,2,9.08,41.14,3,9.31,41.28,4,26.85,
1,9.34,50.34,4,14.70,1:16.59,2,9.31,50.45,3,9.26,50.54,5,19.69,
1,9.37,59.71,4,12.64,1:29.23,1,9.26,59.71,3,9.34,59.88,5,14.94,
2,9.17,1:08.88,4,11.78,1:41.01,1,9.07,1:08.78,3,9.12,1:09.00,5,14.63,
2,9.12,1:18.00,4,11.43,1:52.44,1,9.14,1:17.92,3,9.08,1:18.08,5,13.13,
2,9.31,1:27.31,4,10.87,2:03.31,1,9.27,1:27.19,3,9.50,1:27.583,5,11.47,
