Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Matej FILIP POSITION,Matej FILIP LAP TIME,Matej FILIP ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
1,7.07,7.07,3,7.39,7.39,2,7.22,7.22,4,7.40,7.40
1,9.16,16.23,4,9.53,16.92,2,9.04,16.26,3,9.30,16.70
2,8.74,24.97,4,9.17,26.09,1,8.58,24.84,3,8.77,25.47
2,8.80,33.77,4,9.46,35.55,1,8.80,33.64,3,8.91,34.38
2,9.02,42.781,4,9.78,45.324,1,8.92,42.558,3,9.05,43.431
