Sophia MILAN POSITION,Sophia MILAN LAP TIME,Sophia MILAN ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME
0,12.372,12.372,0,12.004,12.004,0,12.599,12.599
0,15.082,27.453,0,15.186,27.190,0,14.995,27.595
0,13.892,41.345,0,13.838,41.028,0,13.900,41.495
0,13.936,55.281,0,14.046,55.074,0,13.902,55.397
0,13.534,1:08.814,0,13.634,1:08.708,0,13.785,1:09.182
0,13.957,1:22.771,0,14.031,1:22.739,0,13.902,1:23.084
0,13.392,1:36.163,0,13.262,1:36.000,0,13.254,1:36.338
0,12.327,1:48.490,0,12.349,1:48.349,0,12.391,1:48.729
0,11.887,2:00.377,0,11.923,2:00.272,0,11.843,2:00.573
0,11.344,2:11.721,0,11.224,2:11.496,0,11.402,2:11.975
0,10.175,2:21.896,0,10.164,2:21.660,0,10.681,2:22.656
0,9.870,2:31.766,0,9.885,2:31.545,0,10.877,2:33.533
0,10.024,2:41.790,0,10.444,2:41.990,0,11.306,2:44.838
0,10.262,2:52.052,0,10.514,2:52.504,0,11.780,2:56.618
