Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Angelina TARASOVA POSITION,Angelina TARASOVA LAP TIME,Angelina TARASOVA ELAPSED TIME
1,8.28,8.28,4,8.90,8.90,2,8.68,8.68,5,9.04,9.04,3,8.78,8.78
1,10.81,19.09,4,10.58,19.48,2,10.56,19.24,5,10.56,19.60,3,10.60,19.38
1,10.36,29.45,4,10.30,29.78,2,10.30,29.54,5,10.27,29.87,3,10.31,29.69
1,10.45,39.90,4,10.49,40.27,2,10.48,40.02,5,10.51,40.38,3,10.48,40.17
1,10.66,50.56,4,10.59,50.86,2,10.66,50.68,5,10.56,50.94,3,10.61,50.78
1,10.85,1:01.41,2,10.62,1:01.48,3,10.88,1:01.56,5,10.80,1:01.74,4,10.90,1:01.68
2,10.88,1:12.29,1,10.73,1:12.21,3,10.77,1:12.33,5,10.87,1:12.61,4,10.79,1:12.47
5,11.04,1:23.33,1,10.18,1:22.39,2,10.16,1:22.49,4,10.12,1:22.73,3,10.17,1:22.64
5,11.19,1:34.52,1,10.02,1:32.41,2,10.02,1:32.51,3,9.91,1:32.64,4,10.12,1:32.76
5,11.62,1:46.14,1,9.78,1:42.19,2,9.76,1:42.27,3,9.79,1:42.43,4,10.15,1:42.91
5,12.03,1:58.17,1,9.64,1:51.83,2,9.63,1:51.90,3,9.70,1:52.13,4,10.41,1:53.32
5,12.30,2:10.47,1,9.60,2:01.43,2,9.61,2:01.51,3,9.81,2:01.94,4,10.98,2:04.30
5,12.81,2:23.28,1,9.66,2:11.09,2,9.67,2:11.18,3,10.03,2:11.97,4,11.48,2:15.78
5,12.18,2:35.46,1,9.86,2:20.95,2,9.81,2:20.99,3,10.46,2:22.43,4,12.02,2:27.80
