Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
1,7.31,7.31,3,7.63,7.63,4,7.77,7.77,2,7.46,7.46
1,9.86,17.18,4,9.76,17.40,3,9.45,17.23,2,9.75,17.21
2,9.10,26.28,4,9.12,26.53,1,9.01,26.24,3,9.18,26.39
2,9.42,35.70,4,9.22,35.75,1,9.33,35.58,3,9.33,35.73
1,9.82,45.513,0,,DNF,0,,DQ,2,1:504.27,9:59.992
