Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Michal KLOSINSKI POSITION,Michal KLOSINSKI LAP TIME,Michal KLOSINSKI ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME
6,9.47,9.47,5,9.32,9.32,2,9.04,9.04,3,9.15,9.15,1,8.92,8.92,4,9.19,9.19
6,11.78,21.25,5,11.80,21.12,1,11.55,20.59,2,11.53,20.68,3,11.91,20.83,4,11.79,20.98
6,10.94,32.19,5,10.92,32.04,1,10.87,31.46,2,10.93,31.61,3,10.96,31.79,4,10.92,31.90
6,10.09,42.28,5,10.15,42.19,1,10.30,41.76,2,10.28,41.89,3,10.18,41.97,4,10.18,42.08
6,10.43,52.71,5,10.43,52.62,1,10.38,52.14,2,10.35,52.24,3,10.37,52.34,4,10.39,52.47
6,10.52,1:03.23,5,10.47,1:03.09,1,10.50,1:02.64,2,10.49,1:02.73,3,10.50,1:02.84,4,10.48,1:02.95
6,10.78,1:14.01,5,10.83,1:13.92,1,10.82,1:13.46,2,10.84,1:13.57,3,10.84,1:13.68,4,10.83,1:13.78
6,10.36,1:24.37,3,10.28,1:24.20,1,10.45,1:23.91,2,10.38,1:23.95,5,10.68,1:24.36,4,10.44,1:24.22
4,9.22,1:33.59,3,9.25,1:33.45,2,9.42,1:33.33,1,9.08,1:33.03,6,9.64,1:34.00,5,9.53,1:33.75
4,9.07,1:42.66,3,9.13,1:42.58,2,9.14,1:42.47,1,9.13,1:42.16,6,9.30,1:43.30,5,9.32,1:43.07
4,9.26,1:51.92,3,9.25,1:51.83,2,9.26,1:51.73,1,9.33,1:51.49,6,9.45,1:52.75,5,9.41,1:52.48
4,9.32,2:01.24,3,9.30,2:01.13,2,9.36,2:01.09,1,9.49,2:00.98,6,9.59,2:02.34,5,9.80,2:02.28
3,9.64,2:10.88,1,9.14,2:10.27,4,9.84,2:10.93,2,9.70,2:10.68,5,10.02,2:12.36,6,10.59,2:12.87
2,9.51,2:20.365,1,9.22,2:19.468,4,10.24,2:21.145,3,9.91,2:20.573,5,10.42,2:22.758,6,11.54,2:24.378
