Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
3,6.741,6.741,2,6.696,6.696,1,6.534,6.534,4,6.840,6.840
2,8.802,15.542,1,8.629,15.325,4,9.259,15.792,3,8.768,15.607
4,8.827,24.369,3,8.998,24.323,1,8.298,24.089,2,8.586,24.193
4,8.810,33.178,1,8.553,32.876,3,8.997,33.086,2,8.691,32.884
2,8.75,41.924,1,8.97,41.838,3,8.98,42.060,4,9.18,42.063
