JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME,Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME
4,7.85,7.85,1,7.28,7.28,2,7.79,7.79,3,7.81,7.81
4,9.71,17.57,1,9.72,17.00,2,9.59,17.38,3,9.70,17.51
2,9.16,26.73,1,9.38,26.38,4,9.45,26.83,3,9.27,26.79
3,9.22,35.96,1,9.25,35.64,2,8.92,35.76,4,9.53,36.32
2,9.48,45.435,1,9.76,45.397,3,9.87,45.628,4,9.77,46.081
